name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,out_of_bounds,time_interp_file1,time_interp_file2,time_equivalence,time_elapsed,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
correlation,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/correlation-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/correlation-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.169837,0.360327,0.010823,0.57,48206,122686,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/correlation-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/correlation-8-translated-noasyncepilogue.c ""data,corr,mean,stddev"""
mvt,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/mvt-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/mvt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.030229,0.069615,0.002680,0.13,9945,24639,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/mvt-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/mvt-8-translated-noasyncepilogue.c ""x1,x2,y_1,y_2,A"""
seidel-2d,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/seidel-2d-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/seidel-2d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.890836,2.817664,0.081904,3.83,89775,956188,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/seidel-2d-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/seidel-2d-8-translated-noasyncepilogue.c ""A"""
jacobi-2d,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-2d-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/jacobi-2d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.559743,1.644744,0.052965,2.29,98698,537751,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-2d-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/jacobi-2d-8-translated-noasyncepilogue.c ""A,B"""
3mm,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/3mm-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/3mm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.232922,0.559631,0.014238,0.83,70226,178241,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/3mm-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/3mm-8-translated-noasyncepilogue.c ""A,B,C,D,E,F,G"""
adi,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/adi-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/adi-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,2.13,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/adi-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/adi-8-translated-noasyncepilogue.c ""u,v,p,q"""
gesummv,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/gesummv-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/gesummv-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.016055,0.039523,0.002166,0.08,3839,13001,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gesummv-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/gesummv-8-translated-noasyncepilogue.c ""A,B,tmp,x,y"""
symm,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/symm-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/symm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.109271,0.296187,0.011699,0.45,26508,95221,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/symm-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/symm-8-translated-noasyncepilogue.c ""A,B,C"""
bicg,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/bicg-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/bicg-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.025371,0.062505,0.002671,0.11,6736,22709,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/bicg-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/bicg-8-translated-noasyncepilogue.c ""A,s,q,p,r"""
durbin,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/durbin-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/durbin-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,0.1,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/durbin-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/durbin-8-translated-noasyncepilogue.c ""r,y"""
gemver,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/gemver-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/gemver-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.054650,0.134192,0.006336,0.23,15047,47461,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gemver-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/gemver-8-translated-noasyncepilogue.c ""A,u1,v1,u2,v2,w,x,y,z"""
2mm,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/2mm-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/2mm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.150001,0.354687,0.010685,0.54,43273,116631,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/2mm-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/2mm-8-translated-noasyncepilogue.c ""A,B,C,D"""
doitgen,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/doitgen-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/doitgen-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.138168,0.322763,0.009414,0.5,42785,101357,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/doitgen-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/doitgen-8-translated-noasyncepilogue.c ""A,C4,sum"""
gemm,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/gemm-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/gemm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.167587,0.389910,0.015041,0.6,49050,126550,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gemm-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/gemm-8-translated-noasyncepilogue.c ""A,B,C"""
nussinov,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/nussinov-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/nussinov-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.712188,1.882504,0.053835,2.68,122385,662487,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/nussinov-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/nussinov-8-translated-noasyncepilogue.c ""table,seq"""
ludcmp,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/ludcmp-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/ludcmp-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.245521,0.573842,0.015256,0.86,76646,194120,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/ludcmp-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/ludcmp-8-translated-noasyncepilogue.c ""A,B,x,y"""
trisolv,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/trisolv-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/trisolv-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.009121,0.019085,0.001040,0.06,2597,6668,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/trisolv-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/trisolv-8-translated-noasyncepilogue.c ""L,x,b"""
deriche,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/deriche-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/deriche-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.348212,1.049334,0.051222,1.48,133581,420320,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/deriche-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/deriche-8-translated-noasyncepilogue.c ""alpha,imgIn,imgOut,y1,y2"""
fdtd-2d,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/fdtd-2d-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/fdtd-2d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.465418,1.240445,0.041680,1.78,108727,402583,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/fdtd-2d-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/fdtd-2d-8-translated-noasyncepilogue.c ""ex,ey,hz"""
heat-3d,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/heat-3d-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/heat-3d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.864689,2.103799,0.113339,3.11,73099,605591,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/heat-3d-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/heat-3d-8-translated-noasyncepilogue.c ""A,B"""
