name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,out_of_bounds,time_interp_file1,time_interp_file2,time_equivalence,time_elapsed,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
covariance,llvm21-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c,pact26-mini-initial-exp/llvm21-no-args/translated/covariance-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.152170,0.357058,0.009624,0.55,47630,118848,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c pact26-mini-initial-exp/llvm21-no-args/translated/covariance-8-translated-noasyncepilogue.c ""data,cov,mean"""
atax,llvm21-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c,pact26-mini-initial-exp/llvm21-no-args/translated/atax-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.030360,0.069932,0.002605,0.12,9993,25966,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c pact26-mini-initial-exp/llvm21-no-args/translated/atax-8-translated-noasyncepilogue.c ""A,x,y,tmp"""
gramschmidt,llvm21-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c,pact26-mini-initial-exp/llvm21-no-args/translated/gramschmidt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.197477,0.451336,0.012187,0.68,59167,150471,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c pact26-mini-initial-exp/llvm21-no-args/translated/gramschmidt-8-translated-noasyncepilogue.c ""A,R,Q"""
syr2k,llvm21-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c,pact26-mini-initial-exp/llvm21-no-args/translated/syr2k-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.164217,0.427758,0.018237,0.63,31902,135773,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c pact26-mini-initial-exp/llvm21-no-args/translated/syr2k-8-translated-noasyncepilogue.c ""A,B,C"""
lu,llvm21-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c,pact26-mini-initial-exp/llvm21-no-args/translated/lu-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.261995,0.535131,0.014171,0.83,69052,174102,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c pact26-mini-initial-exp/llvm21-no-args/translated/lu-8-translated-noasyncepilogue.c ""A"""
jacobi-1d,llvm21-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c,pact26-mini-initial-exp/llvm21-no-args/translated/jacobi-1d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.011941,0.031122,0.001006,0.07,3497,12471,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c pact26-mini-initial-exp/llvm21-no-args/translated/jacobi-1d-8-translated-noasyncepilogue.c ""A,B"""
floyd-warshall,llvm21-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c,pact26-mini-initial-exp/llvm21-no-args/translated/floyd-warshall-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,3.339836,6.050291,0.295366,9.72,662652,1958662,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c pact26-mini-initial-exp/llvm21-no-args/translated/floyd-warshall-8-translated-noasyncepilogue.c ""path"""
cholesky,llvm21-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c,pact26-mini-initial-exp/llvm21-no-args/translated/cholesky-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.128783,0.276511,0.007766,0.44,36172,91122,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c pact26-mini-initial-exp/llvm21-no-args/translated/cholesky-8-translated-noasyncepilogue.c ""A"""
syrk,llvm21-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c,pact26-mini-initial-exp/llvm21-no-args/translated/syrk-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.118618,0.274062,0.009189,0.43,31899,89270,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c pact26-mini-initial-exp/llvm21-no-args/translated/syrk-8-translated-noasyncepilogue.c ""A,C"""
trmm,llvm21-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c,pact26-mini-initial-exp/llvm21-no-args/translated/trmm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.071224,0.156141,0.004405,0.25,20201,50512,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c pact26-mini-initial-exp/llvm21-no-args/translated/trmm-8-translated-noasyncepilogue.c ""A,B"""
