name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,out_of_bounds,time_interp_file1,time_interp_file2,time_equivalence,time_elapsed,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
seidel-2d,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/seidel-2d-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/seidel-2d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.895378,2.826776,0.078876,3.83,89775,985828,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/seidel-2d-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/seidel-2d-8-translated-noasyncepilogue.c ""A"""
jacobi-2d,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-2d-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/jacobi-2d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.571618,1.635709,0.049337,2.28,98698,570231,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-2d-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/jacobi-2d-8-translated-noasyncepilogue.c ""A,B"""
3mm,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/3mm-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/3mm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.232395,0.541023,0.013957,0.81,70226,178241,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/3mm-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/3mm-8-translated-noasyncepilogue.c ""A,B,C,D,E,F,G"""
adi,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/adi-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/adi-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,2.23,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/adi-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/adi-8-translated-noasyncepilogue.c ""u,v,p,q"""
gesummv,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/gesummv-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/gesummv-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.015700,0.036988,0.002088,0.08,3839,13001,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gesummv-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/gesummv-8-translated-noasyncepilogue.c ""A,B,tmp,x,y"""
symm,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/symm-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/symm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.111585,0.289118,0.012383,0.44,26508,95221,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/symm-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/symm-8-translated-noasyncepilogue.c ""A,B,C"""
bicg,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/bicg-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/bicg-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.024930,0.062169,0.002711,0.12,6736,22709,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/bicg-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/bicg-8-translated-noasyncepilogue.c ""A,s,q,p,r"""
durbin,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/durbin-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/durbin-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,0.1,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/durbin-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/durbin-8-translated-noasyncepilogue.c ""r,y"""
gemver,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/gemver-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/gemver-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.053428,0.155141,0.006290,0.25,15047,48778,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gemver-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/gemver-8-translated-noasyncepilogue.c ""A,u1,v1,u2,v2,w,x,y,z"""
2mm,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/2mm-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/2mm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.144794,0.366758,0.010807,0.55,43273,116631,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/2mm-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/2mm-8-translated-noasyncepilogue.c ""A,B,C,D"""
doitgen,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/doitgen-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/doitgen-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.142222,0.314155,0.007501,0.49,42785,101357,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/doitgen-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/doitgen-8-translated-noasyncepilogue.c ""A,C4,sum"""
gemm,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/gemm-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/gemm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.179728,0.420609,0.016837,0.65,49050,140062,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gemm-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/gemm-8-translated-noasyncepilogue.c ""A,B,C"""
nussinov,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/nussinov-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/nussinov-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.700975,2.132773,0.052432,2.92,122385,772106,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/nussinov-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/nussinov-8-translated-noasyncepilogue.c ""table,seq"""
ludcmp,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/ludcmp-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/ludcmp-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.230047,0.573657,0.015130,0.85,76646,197280,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/ludcmp-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/ludcmp-8-translated-noasyncepilogue.c ""A,B,x,y"""
trisolv,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/trisolv-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/trisolv-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.009247,0.018950,0.001074,0.06,2597,6668,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/trisolv-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/trisolv-8-translated-noasyncepilogue.c ""L,x,b"""
deriche,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/deriche-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/deriche-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.345985,1.018615,0.050739,1.45,133581,420320,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/deriche-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/deriche-8-translated-noasyncepilogue.c ""alpha,imgIn,imgOut,y1,y2"""
fdtd-2d,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/fdtd-2d-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/fdtd-2d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.473751,1.219020,0.040082,1.77,108727,414563,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/fdtd-2d-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/fdtd-2d-8-translated-noasyncepilogue.c ""ex,ey,hz"""
heat-3d,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/heat-3d-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/heat-3d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.856406,2.100869,0.109206,3.09,73099,628952,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/heat-3d-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/heat-3d-8-translated-noasyncepilogue.c ""A,B"""
