name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,out_of_bounds,time_interp_file1,time_interp_file2,time_equivalence,time_elapsed,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
covariance,llvm19-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c,pact26-mini-initial-exp/llvm19-no-args/translated/covariance-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.151820,0.355498,0.009587,0.54,47630,118848,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c pact26-mini-initial-exp/llvm19-no-args/translated/covariance-8-translated-noasyncepilogue.c ""data,cov,mean"""
atax,llvm19-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c,pact26-mini-initial-exp/llvm19-no-args/translated/atax-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.030127,0.069430,0.002666,0.12,9993,25966,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c pact26-mini-initial-exp/llvm19-no-args/translated/atax-8-translated-noasyncepilogue.c ""A,x,y,tmp"""
gramschmidt,llvm19-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c,pact26-mini-initial-exp/llvm19-no-args/translated/gramschmidt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.201485,0.468920,0.013067,0.71,59167,150471,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c pact26-mini-initial-exp/llvm19-no-args/translated/gramschmidt-8-translated-noasyncepilogue.c ""A,R,Q"""
syr2k,llvm19-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c,pact26-mini-initial-exp/llvm19-no-args/translated/syr2k-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.167764,0.438059,0.019152,0.65,31902,135773,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c pact26-mini-initial-exp/llvm19-no-args/translated/syr2k-8-translated-noasyncepilogue.c ""A,B,C"""
lu,llvm19-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c,pact26-mini-initial-exp/llvm19-no-args/translated/lu-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.246915,0.533022,0.014275,0.82,69052,174102,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c pact26-mini-initial-exp/llvm19-no-args/translated/lu-8-translated-noasyncepilogue.c ""A"""
jacobi-1d,llvm19-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c,pact26-mini-initial-exp/llvm19-no-args/translated/jacobi-1d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.012096,0.031803,0.001037,0.07,3497,12471,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c pact26-mini-initial-exp/llvm19-no-args/translated/jacobi-1d-8-translated-noasyncepilogue.c ""A,B"""
floyd-warshall,llvm19-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c,pact26-mini-initial-exp/llvm19-no-args/translated/floyd-warshall-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,3.362979,6.040578,0.296253,9.73,662652,1958662,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c pact26-mini-initial-exp/llvm19-no-args/translated/floyd-warshall-8-translated-noasyncepilogue.c ""path"""
cholesky,llvm19-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c,pact26-mini-initial-exp/llvm19-no-args/translated/cholesky-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.129501,0.306555,0.007736,0.48,36172,91122,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c pact26-mini-initial-exp/llvm19-no-args/translated/cholesky-8-translated-noasyncepilogue.c ""A"""
syrk,llvm19-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c,pact26-mini-initial-exp/llvm19-no-args/translated/syrk-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.116692,0.277380,0.009220,0.43,31899,89270,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c pact26-mini-initial-exp/llvm19-no-args/translated/syrk-8-translated-noasyncepilogue.c ""A,C"""
trmm,llvm19-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c,pact26-mini-initial-exp/llvm19-no-args/translated/trmm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.067242,0.162721,0.004212,0.26,20201,50512,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c pact26-mini-initial-exp/llvm19-no-args/translated/trmm-8-translated-noasyncepilogue.c ""A,B"""
