name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,out_of_bounds,time_interp_file1,time_interp_file2,time_equivalence,time_elapsed,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
covariance,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/covariance-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.152639,0.359465,0.009554,0.55,47630,118848,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/covariance-8-translated-noasyncepilogue.c ""data,cov,mean"""
atax,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/atax-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.029916,0.069576,0.002622,0.13,9993,25966,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/atax-8-translated-noasyncepilogue.c ""A,x,y,tmp"""
gramschmidt,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/gramschmidt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.209203,0.463361,0.012306,0.71,59167,150471,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/gramschmidt-8-translated-noasyncepilogue.c ""A,R,Q"""
syr2k,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/syr2k-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.170066,0.435165,0.018371,0.65,31902,135773,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/syr2k-8-translated-noasyncepilogue.c ""A,B,C"""
lu,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/lu-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.248146,0.546442,0.014342,0.84,69052,174102,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/lu-8-translated-noasyncepilogue.c ""A"""
jacobi-1d,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/jacobi-1d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.012067,0.032202,0.001087,0.07,3497,12471,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/jacobi-1d-8-translated-noasyncepilogue.c ""A,B"""
floyd-warshall,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/floyd-warshall-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,8.94,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/floyd-warshall-8-translated-noasyncepilogue.c ""path"""
cholesky,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/cholesky-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.150503,0.276759,0.007741,0.46,36172,91122,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/cholesky-8-translated-noasyncepilogue.c ""A"""
syrk,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/syrk-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.115581,0.288186,0.009252,0.44,31899,89270,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/syrk-8-translated-noasyncepilogue.c ""A,C"""
trmm,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/trmm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.090967,0.159024,0.004144,0.28,20201,50512,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/trmm-8-translated-noasyncepilogue.c ""A,B"""
correlation,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/correlation-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/correlation-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.162164,0.378183,0.010626,0.58,48206,122686,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/correlation-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/correlation-8-translated-noasyncepilogue.c ""data,corr,mean,stddev"""
mvt,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/mvt-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/mvt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.030071,0.074641,0.002673,0.14,9945,24639,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/mvt-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/mvt-8-translated-noasyncepilogue.c ""x1,x2,y_1,y_2,A"""
seidel-2d,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/seidel-2d-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/seidel-2d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.911161,2.808507,0.085675,3.84,89775,956188,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/seidel-2d-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/seidel-2d-8-translated-noasyncepilogue.c ""A"""
jacobi-2d,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-2d-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/jacobi-2d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.570205,1.624014,0.052151,2.28,98698,537751,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-2d-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/jacobi-2d-8-translated-noasyncepilogue.c ""A,B"""
3mm,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/3mm-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/3mm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.234975,0.544630,0.014786,0.82,70226,178241,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/3mm-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/3mm-8-translated-noasyncepilogue.c ""A,B,C,D,E,F,G"""
adi,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/adi-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/adi-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,2.16,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/adi-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/adi-8-translated-noasyncepilogue.c ""u,v,p,q"""
gesummv,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/gesummv-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/gesummv-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.018252,0.037813,0.002011,0.08,3839,13001,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gesummv-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/gesummv-8-translated-noasyncepilogue.c ""A,B,tmp,x,y"""
symm,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/symm-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/symm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.116054,0.290635,0.011624,0.45,26508,95221,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/symm-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/symm-8-translated-noasyncepilogue.c ""A,B,C"""
bicg,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/bicg-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/bicg-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.025121,0.062689,0.002673,0.11,6736,22709,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/bicg-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/bicg-8-translated-noasyncepilogue.c ""A,s,q,p,r"""
durbin,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/durbin-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/durbin-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,0.09,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/durbin-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/durbin-8-translated-noasyncepilogue.c ""r,y"""
gemver,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/gemver-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/gemver-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.054781,0.133436,0.012033,0.23,15047,47461,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gemver-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/gemver-8-translated-noasyncepilogue.c ""A,u1,v1,u2,v2,w,x,y,z"""
2mm,llvm19-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/2mm-interp.c,pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/2mm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.147905,0.377207,0.010796,0.56,43273,116631,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/2mm-interp.c pact26-mini-initial-exp/llvm19-affine-unroll-jam/translated/2mm-8-translated-noasyncepilogue.c ""A,B,C,D"""
