name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,out_of_bounds,time_interp_file1,time_interp_file2,time_equivalence,time_elapsed,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
covariance,llvm19-affine-parallelize,generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c,pact26-mini-initial-exp/llvm19-affine-parallelize/translated/covariance-8-translated.c,fail,no,no,no,no,no,N/A,N/A,N/A,0.24,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c pact26-mini-initial-exp/llvm19-affine-parallelize/translated/covariance-8-translated.c ""data,cov,mean"""
atax,llvm19-affine-parallelize,generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c,pact26-mini-initial-exp/llvm19-affine-parallelize/translated/atax-8-translated.c,fail,no,no,no,no,no,N/A,N/A,N/A,0.11,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c pact26-mini-initial-exp/llvm19-affine-parallelize/translated/atax-8-translated.c ""A,x,y,tmp"""
gramschmidt,llvm19-affine-parallelize,generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c,pact26-mini-initial-exp/llvm19-affine-parallelize/translated/gramschmidt-8-translated.c,fail,no,no,no,no,no,N/A,N/A,N/A,0.28,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c pact26-mini-initial-exp/llvm19-affine-parallelize/translated/gramschmidt-8-translated.c ""A,R,Q"""
syr2k,llvm19-affine-parallelize,generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c,pact26-mini-initial-exp/llvm19-affine-parallelize/translated/syr2k-8-translated.c,fail,no,no,no,no,no,N/A,N/A,N/A,0.25,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c pact26-mini-initial-exp/llvm19-affine-parallelize/translated/syr2k-8-translated.c ""A,B,C"""
lu,llvm19-affine-parallelize,generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c,pact26-mini-initial-exp/llvm19-affine-parallelize/translated/lu-8-translated.c,fail,no,no,no,no,no,N/A,N/A,N/A,0.33,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c pact26-mini-initial-exp/llvm19-affine-parallelize/translated/lu-8-translated.c ""A"""
jacobi-1d,llvm19-affine-parallelize,generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c,pact26-mini-initial-exp/llvm19-affine-parallelize/translated/jacobi-1d-8-translated.c,fail,no,no,no,no,no,N/A,N/A,N/A,0.1,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c pact26-mini-initial-exp/llvm19-affine-parallelize/translated/jacobi-1d-8-translated.c ""A,B"""
floyd-warshall,llvm19-affine-parallelize,generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c,pact26-mini-initial-exp/llvm19-affine-parallelize/translated/floyd-warshall-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,3.357649,6.006014,0.296795,9.69,662652,1958662,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c pact26-mini-initial-exp/llvm19-affine-parallelize/translated/floyd-warshall-8-translated-noasyncepilogue.c ""path"""
cholesky,llvm19-affine-parallelize,generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c,pact26-mini-initial-exp/llvm19-affine-parallelize/translated/cholesky-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.140147,0.277798,0.007704,0.46,36172,91122,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c pact26-mini-initial-exp/llvm19-affine-parallelize/translated/cholesky-8-translated-noasyncepilogue.c ""A"""
syrk,llvm19-affine-parallelize,generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c,pact26-mini-initial-exp/llvm19-affine-parallelize/translated/syrk-8-translated.c,fail,no,no,no,no,no,N/A,N/A,N/A,0.19,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c pact26-mini-initial-exp/llvm19-affine-parallelize/translated/syrk-8-translated.c ""A,C"""
trmm,llvm19-affine-parallelize,generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c,pact26-mini-initial-exp/llvm19-affine-parallelize/translated/trmm-8-translated.c,fail,no,no,no,no,no,N/A,N/A,N/A,0.15,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c pact26-mini-initial-exp/llvm19-affine-parallelize/translated/trmm-8-translated.c ""A,B"""
