name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,out_of_bounds,time_interp_file1,time_interp_file2,time_equivalence,time_elapsed,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
covariance,llvm23-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c,pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/covariance-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.151113,0.359622,0.009309,0.55,47630,118848,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/covariance-8-translated-noasyncepilogue.c ""data,cov,mean"""
atax,llvm23-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c,pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/atax-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.029392,0.068082,0.002454,0.13,9993,25966,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/atax-8-translated-noasyncepilogue.c ""A,x,y,tmp"""
gramschmidt,llvm23-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c,pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/gramschmidt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.195244,0.451612,0.011844,0.68,59167,150471,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/gramschmidt-8-translated-noasyncepilogue.c ""A,R,Q"""
syr2k,llvm23-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c,pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/syr2k-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.167777,0.424030,0.017993,0.63,31902,135773,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/syr2k-8-translated-noasyncepilogue.c ""A,B,C"""
lu,llvm23-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c,pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/lu-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.249547,0.522522,0.013775,0.82,69052,173942,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/lu-8-translated-noasyncepilogue.c ""A"""
jacobi-1d,llvm23-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c,pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/jacobi-1d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.012290,0.030430,0.000966,0.07,3497,12471,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/jacobi-1d-8-translated-noasyncepilogue.c ""A,B"""
floyd-warshall,llvm23-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c,pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/floyd-warshall-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,3.324844,5.888535,0.283443,9.54,662652,1958662,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/floyd-warshall-8-translated-noasyncepilogue.c ""path"""
cholesky,llvm23-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c,pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/cholesky-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.148869,0.276904,0.007467,0.46,36172,91122,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/cholesky-8-translated-noasyncepilogue.c ""A"""
syrk,llvm23-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c,pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/syrk-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.113696,0.268274,0.009038,0.42,31899,89270,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/syrk-8-translated-noasyncepilogue.c ""A,C"""
trmm,llvm23-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c,pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/trmm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.078026,0.155170,0.005139,0.26,20201,50512,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/trmm-8-translated-noasyncepilogue.c ""A,B"""
correlation,llvm23-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/correlation-interp.c,pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/correlation-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.158344,0.354643,0.010283,0.56,48206,122686,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/correlation-interp.c pact26-mini-initial-exp/llvm23-affine-loop-fusion/translated/correlation-8-translated-noasyncepilogue.c ""data,corr,mean,stddev"""
