name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,out_of_bounds,time_interp_file1,time_interp_file2,time_equivalence,time_elapsed,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
mvt,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/mvt-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/mvt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.031582,0.081716,0.002774,0.14,9945,26661,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/mvt-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/mvt-8-translated-noasyncepilogue.c ""x1,x2,y_1,y_2,A"""
seidel-2d,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/seidel-2d-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/seidel-2d-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,4.26,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/seidel-2d-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/seidel-2d-8-translated-noasyncepilogue.c ""A"""
jacobi-2d,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-2d-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/jacobi-2d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.584333,1.672039,0.050912,2.34,98698,537757,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-2d-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/jacobi-2d-8-translated-noasyncepilogue.c ""A,B"""
3mm,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/3mm-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/3mm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.230693,0.594391,0.014423,0.86,70226,178319,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/3mm-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/3mm-8-translated-noasyncepilogue.c ""A,B,C,D,E,F,G"""
adi,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/adi-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/adi-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,2.18,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/adi-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/adi-8-translated-noasyncepilogue.c ""u,v,p,q"""
gesummv,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/gesummv-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/gesummv-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.015667,0.039372,0.002086,0.08,3839,13007,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gesummv-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/gesummv-8-translated-noasyncepilogue.c ""A,B,tmp,x,y"""
symm,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/symm-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/symm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.109237,0.316030,0.011864,0.46,26508,95251,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/symm-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/symm-8-translated-noasyncepilogue.c ""A,B,C"""
bicg,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/bicg-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/bicg-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.025143,0.066349,0.002650,0.12,6736,22734,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/bicg-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/bicg-8-translated-noasyncepilogue.c ""A,s,q,p,r"""
durbin,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/durbin-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/durbin-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,0.1,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/durbin-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/durbin-8-translated-noasyncepilogue.c ""r,y"""
gemver,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/gemver-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/gemver-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.060340,0.155360,0.006526,0.25,15047,49847,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gemver-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/gemver-8-translated-noasyncepilogue.c ""A,u1,v1,u2,v2,w,x,y,z"""
2mm,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/2mm-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/2mm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.149921,0.384375,0.010677,0.57,43273,116682,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/2mm-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/2mm-8-translated-noasyncepilogue.c ""A,B,C,D"""
doitgen,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/doitgen-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/doitgen-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.144098,0.349214,0.007790,0.53,42785,101377,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/doitgen-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/doitgen-8-translated-noasyncepilogue.c ""A,C4,sum"""
gemm,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/gemm-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/gemm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.187167,0.455491,0.015083,0.69,49050,140068,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gemm-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/gemm-8-translated-noasyncepilogue.c ""A,B,C"""
nussinov,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/nussinov-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/nussinov-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.715353,1.855952,0.054145,2.66,122385,662487,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/nussinov-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/nussinov-8-translated-noasyncepilogue.c ""table,seq"""
ludcmp,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/ludcmp-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/ludcmp-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.231872,0.587459,0.015089,0.86,76646,194157,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/ludcmp-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/ludcmp-8-translated-noasyncepilogue.c ""A,B,x,y"""
trisolv,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/trisolv-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/trisolv-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.009165,0.020451,0.001017,0.06,2597,6681,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/trisolv-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/trisolv-8-translated-noasyncepilogue.c ""L,x,b"""
deriche,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/deriche-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/deriche-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.357061,1.167755,0.052345,1.61,133581,421185,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/deriche-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/deriche-8-translated-noasyncepilogue.c ""alpha,imgIn,imgOut,y1,y2"""
fdtd-2d,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/fdtd-2d-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/fdtd-2d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.466054,1.244088,0.041388,1.78,108727,402589,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/fdtd-2d-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/fdtd-2d-8-translated-noasyncepilogue.c ""ex,ey,hz"""
heat-3d,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/heat-3d-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/heat-3d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.864426,2.284409,0.114577,3.29,73099,605598,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/heat-3d-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/heat-3d-8-translated-noasyncepilogue.c ""A,B"""
