name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,out_of_bounds,time_interp_file1,time_interp_file2,time_equivalence,time_elapsed,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
covariance,llvm23-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c,pact26-mini-initial-exp/llvm23-affine-tile/translated/covariance-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.150905,0.350122,0.009479,0.54,47630,118894,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c pact26-mini-initial-exp/llvm23-affine-tile/translated/covariance-8-translated-noasyncepilogue.c ""data,cov,mean"""
atax,llvm23-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c,pact26-mini-initial-exp/llvm23-affine-tile/translated/atax-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.032967,0.073087,0.002626,0.14,9993,25991,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c pact26-mini-initial-exp/llvm23-affine-tile/translated/atax-8-translated-noasyncepilogue.c ""A,x,y,tmp"""
gramschmidt,llvm23-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c,pact26-mini-initial-exp/llvm23-affine-tile/translated/gramschmidt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.194164,0.461117,0.011856,0.69,59167,150477,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c pact26-mini-initial-exp/llvm23-affine-tile/translated/gramschmidt-8-translated-noasyncepilogue.c ""A,R,Q"""
syr2k,llvm23-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c,pact26-mini-initial-exp/llvm23-affine-tile/translated/syr2k-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.161317,0.436212,0.018003,0.64,31902,135779,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c pact26-mini-initial-exp/llvm23-affine-tile/translated/syr2k-8-translated-noasyncepilogue.c ""A,B,C"""
lu,llvm23-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c,pact26-mini-initial-exp/llvm23-affine-tile/translated/lu-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.260735,0.552959,0.013881,0.86,69052,174115,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c pact26-mini-initial-exp/llvm23-affine-tile/translated/lu-8-translated-noasyncepilogue.c ""A"""
jacobi-1d,llvm23-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c,pact26-mini-initial-exp/llvm23-affine-tile/translated/jacobi-1d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.013529,0.032883,0.000983,0.07,3497,12477,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c pact26-mini-initial-exp/llvm23-affine-tile/translated/jacobi-1d-8-translated-noasyncepilogue.c ""A,B"""
floyd-warshall,llvm23-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c,pact26-mini-initial-exp/llvm23-affine-tile/translated/floyd-warshall-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,10.18,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c pact26-mini-initial-exp/llvm23-affine-tile/translated/floyd-warshall-8-translated-noasyncepilogue.c ""path"""
cholesky,llvm23-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c,pact26-mini-initial-exp/llvm23-affine-tile/translated/cholesky-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.130087,0.282132,0.007476,0.46,36172,91135,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c pact26-mini-initial-exp/llvm23-affine-tile/translated/cholesky-8-translated-noasyncepilogue.c ""A"""
syrk,llvm23-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c,pact26-mini-initial-exp/llvm23-affine-tile/translated/syrk-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.123733,0.278599,0.009122,0.44,31899,89276,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c pact26-mini-initial-exp/llvm23-affine-tile/translated/syrk-8-translated-noasyncepilogue.c ""A,C"""
trmm,llvm23-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c,pact26-mini-initial-exp/llvm23-affine-tile/translated/trmm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.065719,0.169874,0.009017,0.27,20201,50542,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c pact26-mini-initial-exp/llvm23-affine-tile/translated/trmm-8-translated-noasyncepilogue.c ""A,B"""
