name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,out_of_bounds,time_interp_file1,time_interp_file2,time_equivalence,time_elapsed,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
covariance,llvm21-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c,pact26-mini-initial-exp/llvm21-affine-loop-fusion/translated/covariance-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.153417,0.350226,0.009569,0.54,47630,118848,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c pact26-mini-initial-exp/llvm21-affine-loop-fusion/translated/covariance-8-translated-noasyncepilogue.c ""data,cov,mean"""
atax,llvm21-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c,pact26-mini-initial-exp/llvm21-affine-loop-fusion/translated/atax-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.030042,0.076504,0.002598,0.13,9993,25966,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c pact26-mini-initial-exp/llvm21-affine-loop-fusion/translated/atax-8-translated-noasyncepilogue.c ""A,x,y,tmp"""
gramschmidt,llvm21-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c,pact26-mini-initial-exp/llvm21-affine-loop-fusion/translated/gramschmidt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.200269,0.451576,0.012355,0.69,59167,150471,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c pact26-mini-initial-exp/llvm21-affine-loop-fusion/translated/gramschmidt-8-translated-noasyncepilogue.c ""A,R,Q"""
syr2k,llvm21-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c,pact26-mini-initial-exp/llvm21-affine-loop-fusion/translated/syr2k-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.162827,0.428714,0.019668,0.63,31902,135773,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c pact26-mini-initial-exp/llvm21-affine-loop-fusion/translated/syr2k-8-translated-noasyncepilogue.c ""A,B,C"""
lu,llvm21-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c,pact26-mini-initial-exp/llvm21-affine-loop-fusion/translated/lu-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.246778,0.528203,0.014032,0.82,69052,173942,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c pact26-mini-initial-exp/llvm21-affine-loop-fusion/translated/lu-8-translated-noasyncepilogue.c ""A"""
jacobi-1d,llvm21-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c,pact26-mini-initial-exp/llvm21-affine-loop-fusion/translated/jacobi-1d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.012037,0.031056,0.001046,0.07,3497,12471,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c pact26-mini-initial-exp/llvm21-affine-loop-fusion/translated/jacobi-1d-8-translated-noasyncepilogue.c ""A,B"""
floyd-warshall,llvm21-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c,pact26-mini-initial-exp/llvm21-affine-loop-fusion/translated/floyd-warshall-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,3.352649,6.046297,0.296053,9.74,662652,1958662,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c pact26-mini-initial-exp/llvm21-affine-loop-fusion/translated/floyd-warshall-8-translated-noasyncepilogue.c ""path"""
cholesky,llvm21-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c,pact26-mini-initial-exp/llvm21-affine-loop-fusion/translated/cholesky-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.144021,0.278355,0.007726,0.46,36172,91122,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c pact26-mini-initial-exp/llvm21-affine-loop-fusion/translated/cholesky-8-translated-noasyncepilogue.c ""A"""
syrk,llvm21-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c,pact26-mini-initial-exp/llvm21-affine-loop-fusion/translated/syrk-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.115203,0.289072,0.009180,0.44,31899,89270,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c pact26-mini-initial-exp/llvm21-affine-loop-fusion/translated/syrk-8-translated-noasyncepilogue.c ""A,C"""
trmm,llvm21-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c,pact26-mini-initial-exp/llvm21-affine-loop-fusion/translated/trmm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.066648,0.155315,0.004223,0.25,20201,50512,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c pact26-mini-initial-exp/llvm21-affine-loop-fusion/translated/trmm-8-translated-noasyncepilogue.c ""A,B"""
