bench,optionset,mliropt_args,mlir_opt_version,flag_did_nothing,correct,error
fdtd-2d,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
floyd-warshall,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
gemm,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
gemver,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
gesummv,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
gramschmidt,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
heat-3d,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
jacobi-1d,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
jacobi-2d,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
lu,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
ludcmp,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
mvt,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
nussinov,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
seidel-2d,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
symm,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
syr2k,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
syrk,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
trisolv,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
trmm,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
2mm,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
3mm,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
atax,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
bicg,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
cholesky,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
correlation,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
covariance,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
deriche,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
doitgen,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
fdtd-2d,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
floyd-warshall,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,no,no,tree_difference
gemm,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,no,yes,
gemver,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,no,yes,
gesummv,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
gramschmidt,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
heat-3d,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
jacobi-1d,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
jacobi-2d,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
lu,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
ludcmp,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
mvt,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,no,yes,
nussinov,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
seidel-2d,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
symm,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
syr2k,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
syrk,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
trisolv,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
trmm,affine-unroll-jam, --affine-loop-unroll-jam,llvm21,yes,yes,
2mm,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,no,no,
3mm,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,no,no,
atax,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,no,no,
bicg,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,no,no,
cholesky,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,yes,yes,
correlation,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,no,no,
covariance,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,no,no,
deriche,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,no,no,
doitgen,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,no,no,
fdtd-2d,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,no,no,
floyd-warshall,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,yes,yes,
gemm,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,no,no,
gemver,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,no,no,
gesummv,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,no,no,
gramschmidt,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,no,no,
heat-3d,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,no,no,
jacobi-1d,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,no,no,
jacobi-2d,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,no,no,
lu,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,no,no,
ludcmp,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,yes,yes,
mvt,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,no,no,
nussinov,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,yes,yes,
seidel-2d,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,yes,yes,
symm,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,yes,yes,
syr2k,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,no,no,
syrk,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,no,no,
trisolv,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,yes,yes,
trmm,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm21,no,no,
2mm,no-args,,llvm23,yes,yes,
3mm,no-args,,llvm23,yes,yes,
atax,no-args,,llvm23,yes,yes,
bicg,no-args,,llvm23,yes,yes,
cholesky,no-args,,llvm23,yes,yes,
correlation,no-args,,llvm23,yes,yes,
covariance,no-args,,llvm23,yes,yes,
deriche,no-args,,llvm23,yes,yes,
doitgen,no-args,,llvm23,yes,yes,
fdtd-2d,no-args,,llvm23,yes,yes,
floyd-warshall,no-args,,llvm23,yes,yes,
gemm,no-args,,llvm23,yes,yes,
gemver,no-args,,llvm23,yes,yes,
gesummv,no-args,,llvm23,yes,yes,
gramschmidt,no-args,,llvm23,yes,yes,
heat-3d,no-args,,llvm23,yes,yes,
jacobi-1d,no-args,,llvm23,yes,yes,
jacobi-2d,no-args,,llvm23,yes,yes,
lu,no-args,,llvm23,yes,yes,
ludcmp,no-args,,llvm23,yes,yes,
mvt,no-args,,llvm23,yes,yes,
nussinov,no-args,,llvm23,yes,yes,
seidel-2d,no-args,,llvm23,yes,yes,
symm,no-args,,llvm23,yes,yes,
syr2k,no-args,,llvm23,yes,yes,
syrk,no-args,,llvm23,yes,yes,
trisolv,no-args,,llvm23,yes,yes,
trmm,no-args,,llvm23,yes,yes,
2mm,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
3mm,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
atax,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
bicg,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
cholesky,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
correlation,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
covariance,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
deriche,affine-loop-fusion, --affine-loop-fusion,llvm23,no,yes,
doitgen,affine-loop-fusion, --affine-loop-fusion,llvm23,no,no,tree_difference
fdtd-2d,affine-loop-fusion, --affine-loop-fusion,llvm23,no,no,
floyd-warshall,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
gemm,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
gemver,affine-loop-fusion, --affine-loop-fusion,llvm23,no,yes,
gesummv,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
gramschmidt,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
heat-3d,affine-loop-fusion, --affine-loop-fusion,llvm23,no,yes,
jacobi-1d,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
jacobi-2d,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
lu,affine-loop-fusion, --affine-loop-fusion,llvm23,no,yes,
ludcmp,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
mvt,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
nussinov,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
seidel-2d,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
symm,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
syr2k,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
syrk,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
trisolv,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
trmm,affine-loop-fusion, --affine-loop-fusion,llvm23,yes,yes,
2mm,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,yes,yes,
3mm,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,yes,yes,
atax,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,no,yes,
bicg,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,no,yes,
cholesky,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,yes,yes,
correlation,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,no,yes,
covariance,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,yes,yes,
deriche,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,yes,yes,
doitgen,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,yes,yes,
fdtd-2d,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,no,yes,
floyd-warshall,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,yes,yes,
gemm,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,no,yes,
gemver,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,no,yes,
gesummv,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,yes,yes,
gramschmidt,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,no,yes,
heat-3d,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,yes,yes,
jacobi-1d,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,yes,yes,
jacobi-2d,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,yes,yes,
lu,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,yes,yes,
ludcmp,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,yes,yes,
mvt,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,yes,yes,
nussinov,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,yes,yes,
seidel-2d,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,yes,yes,
symm,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,no,yes,
syr2k,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,no,yes,
syrk,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,no,yes,
trisolv,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,yes,yes,
trmm,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm23,yes,yes,
2mm,affine-normalize, --affine-loop-normalize,llvm23,yes,yes,
3mm,affine-normalize, --affine-loop-normalize,llvm23,yes,yes,
atax,affine-normalize, --affine-loop-normalize,llvm23,yes,yes,
bicg,affine-normalize, --affine-loop-normalize,llvm23,yes,yes,
cholesky,affine-normalize, --affine-loop-normalize,llvm23,yes,yes,
correlation,affine-normalize, --affine-loop-normalize,llvm23,no,yes,
covariance,affine-normalize, --affine-loop-normalize,llvm23,no,yes,
deriche,affine-normalize, --affine-loop-normalize,llvm23,yes,yes,
doitgen,affine-normalize, --affine-loop-normalize,llvm23,yes,yes,
fdtd-2d,affine-normalize, --affine-loop-normalize,llvm23,no,yes,
floyd-warshall,affine-normalize, --affine-loop-normalize,llvm23,yes,yes,
gemm,affine-normalize, --affine-loop-normalize,llvm23,yes,yes,
gemver,affine-normalize, --affine-loop-normalize,llvm23,yes,yes,
gesummv,affine-normalize, --affine-loop-normalize,llvm23,yes,yes,
gramschmidt,affine-normalize, --affine-loop-normalize,llvm23,no,yes,
heat-3d,affine-normalize, --affine-loop-normalize,llvm23,no,yes,
jacobi-1d,affine-normalize, --affine-loop-normalize,llvm23,no,yes,
jacobi-2d,affine-normalize, --affine-loop-normalize,llvm23,no,yes,
lu,affine-normalize, --affine-loop-normalize,llvm23,no,yes,
ludcmp,affine-normalize, --affine-loop-normalize,llvm23,no,yes,
mvt,affine-normalize, --affine-loop-normalize,llvm23,yes,yes,
nussinov,affine-normalize, --affine-loop-normalize,llvm23,no,yes,
seidel-2d,affine-normalize, --affine-loop-normalize,llvm23,no,yes,
symm,affine-normalize, --affine-loop-normalize,llvm23,yes,yes,
syr2k,affine-normalize, --affine-loop-normalize,llvm23,yes,yes,
syrk,affine-normalize, --affine-loop-normalize,llvm23,yes,yes,
trisolv,affine-normalize, --affine-loop-normalize,llvm23,yes,yes,
trmm,affine-normalize, --affine-loop-normalize,llvm23,no,yes,
2mm,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
3mm,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
atax,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
bicg,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
cholesky,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
correlation,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
covariance,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
deriche,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
doitgen,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
fdtd-2d,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
floyd-warshall,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,no,tree_difference
gemm,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
gemver,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
gesummv,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
gramschmidt,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
heat-3d,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
jacobi-1d,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
jacobi-2d,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
lu,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
ludcmp,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
mvt,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
nussinov,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,yes,yes,
seidel-2d,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,no,tree_difference
symm,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
syr2k,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
syrk,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
trisolv,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
trmm,affine-tile," --affine-loop-tile=""tile-size=32""",llvm23,no,yes,
2mm,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
3mm,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
atax,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
bicg,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
cholesky,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
correlation,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
covariance,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
deriche,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
doitgen,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
fdtd-2d,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
floyd-warshall,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
gemm,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
gemver,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
gesummv,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
gramschmidt,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
heat-3d,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
jacobi-1d,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
jacobi-2d,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
lu,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
ludcmp,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
mvt,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
nussinov,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
seidel-2d,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
symm,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
syr2k,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
syrk,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
trisolv,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
trmm,affine-unroll, --affine-loop-unroll,llvm23,no,yes,
2mm,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
3mm,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
atax,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
bicg,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
cholesky,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
correlation,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
covariance,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
deriche,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
doitgen,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
fdtd-2d,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
floyd-warshall,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,no,no,tree_difference
gemm,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,no,yes,
gemver,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,no,yes,
gesummv,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
gramschmidt,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
heat-3d,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
jacobi-1d,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
jacobi-2d,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
lu,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
ludcmp,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
mvt,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,no,yes,
nussinov,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
seidel-2d,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
symm,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
syr2k,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
syrk,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
trisolv,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
trmm,affine-unroll-jam, --affine-loop-unroll-jam,llvm23,yes,yes,
2mm,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,no,no,
3mm,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,no,no,
atax,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,no,no,
bicg,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,no,no,
cholesky,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,yes,yes,
correlation,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,no,no,
covariance,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,no,no,
deriche,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,no,no,
doitgen,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,no,no,
fdtd-2d,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,no,no,
floyd-warshall,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,yes,yes,
gemm,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,no,no,
gemver,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,no,no,
gesummv,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,no,no,
gramschmidt,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,no,no,
heat-3d,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,no,no,
jacobi-1d,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,no,no,
jacobi-2d,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,no,no,
lu,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,no,no,
ludcmp,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,yes,yes,
mvt,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,no,no,
nussinov,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,yes,yes,
seidel-2d,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,yes,yes,
symm,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,yes,yes,
syr2k,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,no,no,
syrk,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,no,no,
trisolv,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,yes,yes,
trmm,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm23,no,no,
