name,output_dir,optionset,mlir_opt_version,all_pass,fail_command,flag_did_nothing
doitgen,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
durbin,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
floyd-warshall,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
deriche,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
gramschmidt,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
nussinov,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,yes
bicg,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
ludcmp,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
mvt,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
correlation,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
2mm,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
syr2k,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
gesummv,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
trisolv,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
heat-3d,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
trmm,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
jacobi-1d,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
seidel-2d,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
covariance,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
lu,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
fdtd-2d,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
adi,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
cholesky,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
atax,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
gemver,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
jacobi-2d,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
symm,llvm19-affine-tile,affine-tile,llvm19,yes,N/A,no
syrk,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
gemm,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
3mm,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
doitgen,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
durbin,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
floyd-warshall,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
deriche,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
gramschmidt,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
nussinov,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
bicg,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
ludcmp,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
mvt,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
correlation,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
